source_type,name,reason
GBD,Tamil Nadu,unmatched
GBD,Tana River,unmatched
GBD,Taraba,unmatched
GBD,Tarlac,unmatched
GBD,Tawi-Tawi,unmatched
GBD,Tehran,unmatched
GBD,Telangana,unmatched
GBD,Tennessee,unmatched
GBD,Texas,unmatched
GBD,Tharaka Nithi,unmatched
GBD,Tigray,unmatched
GBD,Tlaxcala,unmatched
GBD,Tocantins,unmatched
GBD,Tochigi,unmatched
GBD,Tokushima,unmatched
GBD,Toscana,unmatched
GBD,Tottori,unmatched
GBD,Toyama,unmatched
GBD,Trans Nzoia,unmatched
GBD,Tripura,unmatched
GBD,Troms og Finnmark,unmatched
GBD,Tropical Latin America,unmatched
GBD,Trøndelag,unmatched
GBD,Turkana,unmatched
GBD,Tōkyō,unmatched
GBD,Uasin Gishu,unmatched
GBD,Umbria,unmatched
GBD,Utah,unmatched
GBD,Uttar Pradesh,unmatched
GBD,Uttarakhand,unmatched
GBD,Valle d'Aosta,unmatched
GBD,Veneto,unmatched
GBD,Veracruz de Ignacio de la Llave,unmatched
GBD,Vermont,unmatched
GBD,Vestfold og Telemark,unmatched
GBD,Vestland,unmatched
GBD,Vihiga,unmatched
GBD,Viken,unmatched
GBD,Virginia,unmatched
GBD,Wajir,unmatched
GBD,Wakayama,unmatched
GBD,Wales,unmatched
GBD,Warmińsko-Mazurskie,unmatched
GBD,Washington,unmatched
GBD,West Azarbayejan,unmatched
GBD,West Bengal,unmatched
GBD,West Java,unmatched
GBD,West Kalimantan,unmatched
GBD,West Midlands,unmatched
GBD,West Nusa Tenggara,unmatched
GBD,West Papua,unmatched
GBD,West Pokot,unmatched
GBD,West Sulawesi,unmatched
GBD,West Sumatra,unmatched
GBD,West Virginia,unmatched
GBD,Western Africa,unmatched
GBD,Western Cape,unmatched
GBD,Western Europe,unmatched
GBD,Western Sub-Saharan Africa,unmatched
GBD,Wielkopolskie,unmatched
GBD,Wisconsin,unmatched
GBD,World Bank High Income,unmatched
GBD,World Bank Income Levels,unmatched
GBD,World Bank Low Income,unmatched
GBD,World Bank Lower Middle Income,unmatched
GBD,World Bank Regions,unmatched
GBD,World Bank Upper Middle Income,unmatched
GBD,Wyoming,unmatched
GBD,Yamagata,unmatched
GBD,Yamaguchi,unmatched
GBD,Yamanashi,unmatched
GBD,Yazd,unmatched
GBD,Yobe,unmatched
GBD,Yogyakarta,unmatched
GBD,Yorkshire and the Humber,unmatched
GBD,Yucatán,unmatched
GBD,Zacatecas,unmatched
GBD,Zachodniopomorskie,unmatched
GBD,Zambales,unmatched
GBD,Zamboanga Del Norte,unmatched
GBD,Zamboanga Del Sur,unmatched
GBD,Zamboanga Sibugay,unmatched
GBD,Zamfara,unmatched
GBD,Zanjan,unmatched
GBD,Łódzkie,unmatched
GBD,Ōita,unmatched
GBD,Ōsaka,unmatched
GBD,Śląskie,unmatched
GBD,Świętokrzyskie,unmatched
